Country,Technology,CO2_GtCO2e,CH4_GtCO2e,N2O_GtCO2e,Unit,Percentage,Percentage ,Percentage  ,
Armenia,Technology Electricity Public,0.000607858089612398,8.359988595955793e-07,1.064876658755666e-06,GtCO2e,8.28,0.03,0.07,%
Armenia,Technology Heat Production,0.00037873983215011195,1.5017177797643682e-08,2.1842446459254503e-07,GtCO2e,5.16,0.0,0.01,%
Armenia,Technology Electricity Autoproducer,0.0,0.0,0.0,GtCO2e,0.0,0.0,0.0,%
Armenia,Technology Other Transformation,0.0,0.0,0.0,GtCO2e,0.0,0.0,0.0,%
Armenia,Technology Fugitive Solid Fuels,0.0,0.0,0.0,GtCO2e,0.0,0.0,0.0,%
Armenia,Technology Fugitive Petr,0.0,0.0,0.0,GtCO2e,0.0,0.0,0.0,%
Armenia,Technology Fugitive NG Distr,0.0,0.0006560197375199999,0.0,GtCO2e,0.0,23.43,0.0,%
Armenia,Technology Fugitive NG Prod,0.0,0.0,0.0,GtCO2e,0.0,0.0,0.0,%
Armenia,Technology Fugitive Other Energy,0.0,0.0,0.0,GtCO2e,0.0,0.0,0.0,%
Armenia,Technology Fossil Fuel Fires,0.0,0.0,0.0,GtCO2e,0.0,0.0,0.0,%
Armenia,Technology Commercial Institutional,0.0001084889947523996,2.2849599120640234e-06,1.7348603581509203e-08,GtCO2e,1.48,0.08,0.0,%
Armenia,Technology Residential,0.0032809288326638604,2.6928237925079842e-05,6.573525653888204e-06,GtCO2e,44.72,0.96,0.42,%
Armenia,Technology Agriculture Forestry Fishing,0.000257837886475589,4.800347691748224e-08,1.768146301614389e-07,GtCO2e,3.51,0.0,0.01,%
Armenia,Technology Other Unspecified,7.19366149545211e-05,2.1643898586981867e-08,1.8393474065008087e-07,GtCO2e,0.98,0.0,0.01,%
Armenia,Technology International Aviation,0.0,0.0,0.0,GtCO2e,0.0,0.0,0.0,%
Armenia,Technology Domestic Aviation,0.0,0.0,0.0,GtCO2e,0.0,0.0,0.0,%
Armenia,Technology Road,0.0009358283788022321,8.892079402243212e-05,2.755250636571694e-05,GtCO2e,12.75,3.18,1.75,%
Armenia,Technology International Shipping,0.0,0.0,0.0,GtCO2e,0.0,0.0,0.0,%
Armenia,Technology Oil Tanker Loading,0.0,0.0,0.0,GtCO2e,0.0,0.0,0.0,%
Armenia,Technology Rail,0.0,0.0,0.0,GtCO2e,0.0,0.0,0.0,%
Armenia,Technology Domestic Navigation,0.0,0.0,0.0,GtCO2e,0.0,0.0,0.0,%
Armenia,Technology Other Transp,0.0,0.0,0.0,GtCO2e,0.0,0.0,0.0,%
Armenia,Technology Ind Comb Iron steel,6.99362665843594e-05,3.6899358218279656e-08,4.687167189110723e-08,GtCO2e,0.95,0.0,0.0,%
Armenia,Technology Ind Comb Non Ferrous Metals,0.0001243693682959048,6.249394464105072e-08,9.983693255816593e-08,GtCO2e,1.7,0.0,0.01,%
Armenia,Technology Ind Comb Chemicals,1.22673017336038e-05,6.4724009894631984e-09,8.221613333521555e-09,GtCO2e,0.17,0.0,0.0,%
Armenia,Technology Ind Comb Pulp Paper,2.08670596499447e-05,1.100975426042711e-08,1.3985218557021268e-08,GtCO2e,0.28,0.0,0.0,%
Armenia,Technology Ind Comb Food Tobacco,0.000258878006687495,1.3658767861269215e-07,1.735014690074083e-07,GtCO2e,3.53,0.0,0.01,%
Armenia,Technology Ind Comb Non Metalic Minerals,0.000421388137900701,2.223303102772307e-07,2.824166559514835e-07,GtCO2e,5.74,0.01,0.02,%
Armenia,Technology Ind Comb Construction,1.972885639631128e-05,1.0409222209858352e-08,1.3222388453911012e-08,GtCO2e,0.27,0.0,0.0,%
